天气之子,爱情／动画／奇幻,2019/11/1
误杀,剧情／犯罪,2019/12/13
唐人街探案2,喜剧／动作／悬疑,2018/2/16
哪吒之魔童降世,动画／喜剧／奇幻,2019/7/26
少年的你,爱情／青春／剧情,2019/10/25
毒液2,动作／科幻／惊悚／恐怖,2020/6/25
哥斯拉2：怪兽之王,科幻／灾难／动作,2019/5/31
战狼2,动作／战争,2017/7/27
恐怖电影院2,恐怖／惊悚,2017/10/20
复仇者联盟4：终局之战,动作／冒险／奇幻,2019/4/24
